Country,LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Percentage,UrbanPopulation_Absolute,PopulationDensity,GDP_per_capita_PPP,TotalGDP,Population
Slovenia,81.9,84.6,79.3,55.7,1179249,105,46274.28,97798377066.0,2113450.0
Solomon Islands,70.8,72.3,69.5,22.8,190885,30,2518.4216,1920412317.3936,762546.0
Somalia,59.1,61.7,56.6,46.6,9168559,31,1392.4642,24049786689.3812,17271386.0
South Korea,84.5,87.4,81.4,82.4,42587468,531,48571.434,2518349098605.372,51848358.0
Spain,84.0,86.6,81.3,79.3,37995950,96,44091.11,2104716031427.1,47735610.0
Sri Lanka,77.9,80.9,74.7,18.1,4193316,370,14316.135,324980931560.01,22700326.0
St. Vincent & Grenadines,71.5,74.6,68.9,61.6,61573,256,15900.977,1634572732.6690001,102797.0
State Of Palestine,73.1,76.9,69.7,84.2,4707958,929,5663.1216,29364922138.142403,5185289.0
Sudan,66.7,70.0,63.6,35.3,18220482,29,3248.9756,156168107292.22562,48066876.0
Suriname,73.9,77.1,70.7,62.4,399428,4,18458.234,11404659833.942,617863.0
Sweden,83.6,85.3,81.8,87.4,9309134,26,63124.598,657510547112.85,10416075.0
Switzerland,84.2,86.1,82.3,74.4,6668094,227,81603.21,710516946183.3301,8706973.0
Syria,73.0,75.4,70.6,53.6,13735765,140,4592.8384,99337541850.37439,21628791.0
Tajikistan,72.1,74.3,69.8,27.7,2987515,77,3985.9126,39727064743.7368,9966868.0
Tanzania,67.4,70.2,64.6,40.0,28244987,80,3493.083,219471679865.295,62830365.0
Thailand,76.8,81.2,72.6,53.5,38343775,140,20245.242,1452136404789.9058,71727293.0
Timor-Leste,68.1,69.9,66.5,36.0,510529,95,6824.7925,9214166003.835,1350102.0
Togo,63.1,63.4,62.9,44.2,4295574,179,2577.202,22881280759.084003,8878342.0
Tonga,73.2,76.7,69.6,26.0,26950,144,7034.925,741832841.25,105450.0
Trinidad And Tobago,73.7,77.0,70.6,49.1,741616,295,30826.209,45858887254.730995,1487659.0
Tunisia,76.9,79.5,74.3,71.7,8853818,79,12375.343,149105223535.539,12048573.0
Turkey,77.8,80.8,74.9,76.9,67446349,114,31637.53,2742537442911.1797,86686206.0
Turkmenistan,70.3,73.2,67.1,46.5,3540511,16,16434.14,116550657933.76,7091984.0
U.S. Virgin Islands,75.9,81.6,70.9,0.0,0,240,46893.55,4088367263.2000003,87184.0
Uganda,68.7,71.6,65.7,30.0,15430672,257,2684.9204,123267074403.4744,45910886.0
Ukraine,74.9,79.5,70.0,76.8,29923619,67,17846.408,790570728811.1279,44298591.0
United Arab Emirates,83.2,84.4,82.4,81.1,9207088,136,67401.125,659789680026.125,9789001.0
United Kingdom,81.6,83.4,79.7,84.5,58798650,287,52872.195,3577795292534.055,67668749.0
United States,79.6,82.1,77.2,82.8,287421363,38,71318.305,24259733903880.56,340161392.0
Uruguay,78.5,82.2,74.6,0.0,0,19,29441.477,100002186761.711,3396643.0
Uzbekistan,72.7,75.7,69.7,48.1,17835913,87,9247.644,316673158441.752,34243658.0
Vanuatu,71.8,74.3,69.7,25.4,85244,27,3135.8367,959051752.9812,305836.0
Vietnam,74.9,79.5,70.2,41.4,42039428,328,12048.902,1192058770010.708,98935054.0
Zambia,66.7,69.1,64.3,46.8,10256668,29,3503.035,68671942792.46,19603556.0
Zimbabwe,63.3,65.6,60.8,37.9,6429761,44,3184.7854,50310580453.39101,15797165.0
